,1.Company,2.Price,3.Change,4.PctChange,5.P/E,6.Vol
0,MMM,216.41,-0.34,-0.16%,24.7,2.0M
1,AXP,91.97,+0.075,+0.08%,18.7,3.0M
2,AAPL,156.55,+0.65,+0.42%,17.7,16.9M
3,BA,261.47,+0.54,+0.21%,23.1,2.9M
4,CAT,128.59,+0.40,+0.31%,803.7,2.2M
5,CVX,119.39,+0.59,+0.50%,38.8,3.9M
6,CSCO,33.59,+0.04,+0.12%,17.7,12.6M
7,KO,46.09,+0.215,+0.47%,48.5,6.6M
8,DIS,98.52,-1.06,-1.06%,17.4,8.0M
9,DWDP,71.63,+0.055,+0.08%,29.5,5.1M
10,XOM,82.62,+0.36,+0.44%,29.8,7.0M
11,GE,23.06,-0.30,-1.28%,26.5,81.2M
12,GS,242.40,-0.2005,-0.08%,12.8,2.2M
13,HD,165.21,+0.05,+0.03%,23.7,2.3M
14,IBM,147.58,-0.92,-0.62%,12.3,3.7M
15,INTC,39.30,-0.35,-0.88%,15.0,30.7M
16,JNJ,136.67,+2.77,+2.07%,23.1,8.3M
17,JPM,96.75,-0.385,-0.40%,14.3,14.3M
18,MCD,163.15,+2.57,+1.60%,26.7,3.6M
19,MRK,63.76,-0.70,-1.09%,34.5,10.1M
20,MSFT,76.42,+0.13,+0.17%,28.2,15.4M
21,NKE,51.04,-0.49,-0.95%,20.3,9.1M
22,PFE,36.45,+0.045,+0.12%,26.6,17.2M
23,PG,91.44,-0.18,-0.20%,24.8,7.1M
24,TRV,125.64,-0.30,-0.24%,12.6,1.1M
25,UTX,117.74,-0.38,-0.32%,18.0,3.1M
26,UNH,195.26,+0.58,+0.30%,23.5,2.9M
27,VZ,48.86,-0.281,-0.57%,12.6,10.3M
28,V,108.44,+1.13,+1.05%,40.3,6.5M
29,WMT,85.69,+1.56,+1.85%,20.6,18.5M
